,No. de Depósito,Referencia,Potencia KW,Potencia HP,Tamaño constructivo,Velocidad rpm,Torque Nm,Corriente nominal 220V DD A,Corriente nominal 380V YY A,Corriente nominal 440V D A,Eficiencia %,Peso neto (IM B3) kg,Precio de lista USD
0,100664611,1LE0143-0DA26-4AA4-Z,0.75,1.0,80M,3450,2.1,3.15,1.82,1.57,77.0,15.0,270.0
1,100664612,1LE0143-0DA36-4AA4-Z,1.1,1.5,80M,3480,3.0,4.3,2.5,2.15,84.0,18.0,300.4
2,100664613,1LE0143-0DA86-4AA4-Z,1.5,2.0,80M,3465,4.1,5.7,3.25,2.85,85.5,18.5,373.8
3,100664614,1LE0143-0EA46-4AA4-Z,2.2,3.0,90L,3500,6.0,7.8,4.5,3.9,86.5,29.0,453.9
4,100664615,1LE0143-0EA86-4AA4-Z,3.0,4.0,90L,3515,8.2,10.7,6.2,5.3,88.5,29.0,521.4
5,100664616,1LE0143-1AA86-4AA4-Z,3.7,5.0,100L,3465,10.2,12.6,7.3,6.3,88.5,45.0,613.7
6,100664618,1LE0143-1BA86-4AA4-Z,5.5,7.5,112M,3520,14.9,18.6,10.8,9.3,89.5,47.0,818.6
7,100664619,1LE0143-1CA16-4AA4-Z,7.5,10.0,132S,3535,20.3,24.0,14.0,12.1,90.2,76.0,1016.9
8,100664650,1LE0143-1CA86-4AA4-Z,11.0,15.0,132M,3540,29.7,36.0,21.0,17.9,91.0,79.0,1365.8
9,100664651,1LE0143-1DA36-4AA4-Z,15.0,20.0,160M,3540,40.5,52.0,30.0,26.0,91.0,103.0,1750.1
10,100664652,1LE0143-1DA46-4AA4-Z,18.5,25.0,160L,3545,49.8,64.0,37.0,32.0,91.0,120.0,2097.3
11,100664653,1LE0143-1DA86-4AA4-Z,22.0,30.0,160L,3540,59.4,73.0,42.0,36.5,91.7,131.0,2646.1
12,100664654,1LE0143-2AA46-4AA4-Z,30.0,40.0,200L,3565,80.4,96.0,56.0,48.0,91.7,259.0,3669.1
13,100664589,1LE0143-2BA16-4AA4-Z,37.0,50.0,225M,3570,99.0,118.0,68.0,59.0,93.0,320.0,4502.5
14,100664700,1LE0143-2BA26-4AA4-Z,45.0,60.0,225M,3570,120.0,143.0,83.0,71.0,93.6,327.0,5955.2
15,100664701,1LE0143-2CA26-4AA4-Z,55.0,75.0,250M,3577,147.0,178.0,103.0,89.0,93.6,416.0,6996.4
16,100664702,1LE0143-2CA86-4AA4-Z,75.0,100.0,250M,3570,201.0,235.0,137.0,118.0,94.1,420.0,8610.8
17,100664703,1LE0143-2DA23-3AA4-Z,90.0,125.0,280M,3580,240.0,--,145.0,95.0,95.0,610.0,11834.0
18,100664704,1LE0143-2DA83-3AA4-Z,110.0,150.0,280M,3580,293.0,--,175.0,95.4,95.4,610.0,12807.0
19,100664705,1LE8143-3AA23-3AA4-Z,150.0,200.0,315M,3582,400.0,--,225.0,95.4,95.4,1210.0,16415.4
20,100664706,1LE8143-3AA63-3AA4-Z,185.0,250.0,315L,3582,493.0,--,285.0,95.8,95.8,1220.0,20124.3
