No. de Depósito,Referencia,Potencia kW,Potencia HP,Tamaño constructivo,Velocidad rpm,Torque Nm,Corriente nominal 220VDD A,Corriente nominal 380VYY A,Corriente nominal 440VD A,Eficiencia %,Peso neto (IM B3) kg,Precio de lista USD,rpm,polos,costo_Pesos,(%) deslizamiento
100664611,1LE0143-0DA26-4AA4-Z D80+D81,0.75,1.0,80M,3450,2.1,3.15,1.82,1.57,77.0,15.0,270.0,3600,2,1048680.0,4.166666666666666
100664612,1LE0143-0DA36-4AA4-Z D80+D81,1.1,1.5,80M,3480,3.0,4.3,2.5,2.15,84.0,18.0,300.4,3600,2,1166753.5999999999,3.3333333333333335
100664613,1LE0143-0DA86-4AA4-Z D80+D81,1.5,2.0,80M,3465,4.1,5.7,3.25,2.85,85.5,18.5,373.8,3600,2,1451839.2,3.75
100664614,1LE0143-0EA46-4AA4-Z D80+D81,2.2,3.0,90L,3500,6.0,7.8,4.5,3.9,86.5,29.0,453.9,3600,2,1762947.5999999999,2.7777777777777777
100664615,1LE0143-0EA86-4AA4-Z D80+D81,3.0,4.0,90L,3515,8.2,10.7,6.2,5.3,88.5,29.0,521.4,3600,2,2025117.5999999999,2.361111111111111
100664616,1LE0143-1AA86-4AA4-Z D80+D81,3.7,5.0,100L,3465,10.2,12.6,7.3,6.3,88.5,45.0,613.7,3600,2,2383610.8000000003,3.75
100664618,1LE0143-1BA86-4AA4-Z D80+D81,5.5,7.5,112M,3520,14.9,18.6,10.8,9.3,89.5,47.0,818.6,3600,2,3179442.4,2.2222222222222223
100664619,1LE0143-1CA16-4AA4-Z D80+D81,7.5,10.0,132S,3535,20.3,24.0,14.0,12.1,90.2,76.0,1016.9,3600,2,3949639.6,1.8055555555555554
100664650,1LE0143-1CA86-4AA4-Z D80+D81,11.0,15.0,132M,3540,29.7,36.0,21.0,17.9,91.0,79.0,1365.8,3600,2,5304767.2,1.6666666666666667
100664651,1LE0143-1DA36-4AA4-Z D80+D81,15.0,20.0,160M,3540,40.5,52.0,30.0,26.0,91.0,103.0,1750.1,3600,2,6797388.399999999,1.6666666666666667
100664652,1LE0143-1DA46-4AA4-Z D80+D81,18.5,25.0,160L,3545,49.8,64.0,37.0,32.0,91.7,120.0,2097.3,3600,2,8145913.200000001,1.5277777777777777
100664653,1LE0143-1DA86-4AA4-Z D80+D81,22.0,30.0,160L,3540,59.4,73.0,42.0,36.5,91.7,131.0,2646.1,3600,2,10277452.4,1.6666666666666667
100664654,1LE0143-2AA46-4AA4-Z D80+D81,30.0,40.0,200L,3565,80.4,96.0,56.0,48.0,92.4,259.0,3669.1,3600,2,14250784.4,0.9722222222222222
100664589,1LE0143-2BA16-4AA4-Z D80+D81,37.0,50.0,225M,3570,99.0,118.0,68.0,59.0,93.0,320.0,4502.5,3600,2,17487710.0,0.8333333333333334
100664700,1LE0143-2BA26-4AA4-Z D80+D81,45.0,60.0,225M,3570,120.0,143.0,83.0,71.0,93.6,327.0,5955.2,3600,2,23129996.8,0.8333333333333334
100664701,1LE0143-2CA26-4AA4-Z D80+D81,55.0,75.0,250M,3577,147.0,178.0,103.0,89.0,93.6,416.0,6996.4,3600,2,27174017.599999998,0.638888888888889
100664702,1LE0143-2CA86-4AA4-Z D80+D81,75.0,100.0,250M,3570,201.0,235.0,137.0,118.0,94.1,420.0,8610.8,3600,2,33444347.199999996,0.8333333333333334
100664703,1LE0143-2DA23-3AA4-Z D80+D81,90.0,125.0,280M,3580,240.0,,,145.0,95.0,610.0,11834.0,3600,2,45963256.0,0.5555555555555556
100664704,1LE0143-2DA83-3AA4-Z D80+D81,110.0,150.0,280M,3580,293.0,,,175.0,95.4,610.0,12807.0,3600,2,49742388.0,0.5555555555555556
100664705,1LE8143-3AA23-3AA4-Z D80+D81,150.0,200.0,315M,3582,400.0,,,225.0,95.4,1210.0,16415.4,3600,2,63757413.60000001,0.5
100664706,1LE8143-3AA63-3AA4-Z D80+D81,185.0,250.0,315L,3582,493.0,,,285.0,95.8,1220.0,20124.3,3600,2,78162781.2,0.5
100664707,1LE0143-0DB26-4AA4-Z D80+D81,0.55,0.75,80M,1735,3.0,2.35,1.36,1.18,81.1,17.5,258.6,1800,4,1004402.4000000001,3.6111111111111107
100664708,1LE0143-0DB36-4AA4-Z D80+D81,0.75,1.0,80M,1740,4.1,3.2,1.86,1.61,83.5,19.0,290.5,1800,4,1128302.0,3.3333333333333335
100664806,1LE0143-0EB06-4AA4-Z D80+D81,1.1,1.5,90S,1740,6.0,4.45,2.6,2.25,86.5,24.0,356.7,1800,4,1385422.8,3.3333333333333335
100663131,1LE0143-0EB46-4AA4-Z D80+D81,1.5,2.0,90L,1740,8.2,5.7,3.3,2.85,86.5,26.0,407.8,1800,4,1583895.2,3.3333333333333335
100663132,1LE0143-1AB46-4AA4-Z D80+D81,2.2,3.0,100L,1750,12.0,8.1,4.7,4.05,89.5,46.0,501.5,1800,4,1947826.0,2.7777777777777777
100664709,1LE0143-1AB56-4AA4-Z D80+D81,3.0,4.0,100L,1750,16.4,10.9,6.3,5.5,89.5,46.0,567.4,1800,4,2203781.6,2.7777777777777777
100664710,1LE0143-1BB26-4AA4-Z D80+D81,3.7,5.0,112M,1750,20.2,13.7,7.9,6.8,89.5,50.0,647.6,1800,4,2515278.4,2.7777777777777777
100664711,1LE0143-1CB06-4AA4-Z D80+D81,5.5,7.5,132S,1760,29.8,19.5,11.3,9.8,91.7,74.0,832.1,1800,4,3231876.4,2.2222222222222223
100664712,1LE0143-1CB26-4AA4-Z D80+D81,7.5,10.0,132M,1760,40.7,26.0,15.1,13.0,91.7,83.0,1074.8,1800,4,4174523.1999999997,2.2222222222222223
100664713,1LE0143-1DB26-4AA4-Z D80+D81,11.0,15.0,160M,1765,59.5,38.5,22.5,19.4,92.4,107.0,1338.5,1800,4,5198734.0,1.9444444444444444
100664714,1LE0143-1DB46-4AA4-Z D80+D81,15.0,20.0,160L,1770,80.9,51.0,29.5,25.5,93.0,125.0,1850.5,1800,4,7187342.0,1.6666666666666667
100664715,1LE0143-1EB26-4AA4-Z D80+D81,18.5,25.0,180M,1780,99.3,65.0,37.5,32.5,93.6,197.0,2302.3,1800,4,8942133.200000001,1.1111111111111112
100664716,1LE0143-1EB46-4AA4-Z D80+D81,22.0,30.0,180L,1775,118.0,77.0,44.5,38.5,93.6,211.0,2843.3,1800,4,11043377.200000001,1.3888888888888888
100664717,1LE0143-2AB46-4AA4-Z D80+D81,30.0,40.0,200L,1780,161.0,99.0,57.0,49.5,94.1,270.0,3938.5,1800,4,15297134.0,1.1111111111111112
100664718,1LE0143-2BB06-4AA4-Z D80+D81,37.0,50.0,225M,1785,198.0,123.0,71.0,62.0,94.5,345.0,4514.8,1800,4,17535483.2,0.8333333333333334
100664719,1LE0143-2CB06-4AA4-Z D80+D81,45.0,60.0,250M,1785,241.0,144.0,83.0,72.0,95.0,471.0,6235.9,1800,4,24220235.599999998,0.8333333333333334
100664730,1LE0143-2CB16-4AA4-Z D80+D81,51.5,70.0,250M,1788,275.0,169.0,98.0,84.0,95.4,472.0,7032.3,1800,4,27313453.2,0.6666666666666667
